hash,category,movie_name,n_trials,n_frames_clip
13LbtkmTZghMyeFGMVte,Rendered,ancienttomb_071-1-4-70-0_34.203.243.27,1,75
tz992JUkIT2uRNxd/x/P,Rendered,ancienttomb_059-1-4-70-0_54.175.147.171,1,75
rjl3/8gPUU+rijxJucBa,Rendered,medievalsewer_062-1-6-70-0_52.207.221.173,1,75
eoq4ye09MJIRkXhqXbt7,Rendered,subway_019-1-3-70-0_54.89.40.102,1,75
7sqh/IO7gEnkz9p00Ms5,Rendered,medievalsewer_080-1-6-70-0_54.83.154.242,1,75
thi9WCuqVK36ugjxcRCT,Rendered,kowloon_070-1-8-70-0_54.162.127.170,1,75
NMYdFIMzm7LI9uXg0inA,Rendered,swamp_070-1-11-70-0_54.173.97.201,1,75
otpDc+UZTnv0+G/1LL/A,Rendered,lowpolyjungle_129-1-9-70-0_52.87.152.28,1,75
4ZE6JPeH4hCIesp0aRIB,Rendered,kowloon_110-1-8-70-0_54.209.141.225,1,75
PZx6xHF2L1VoOaHA/9ry,Rendered,medievalsewer_065-1-6-70-0_54.165.28.255,1,75
8qod6eNK3QPaIuKVeN9s,Rendered,run157-mountainLake-1-0,1,75
qXgTwwPNau/w3wnoV2dj,Rendered,swamp_074-1-11-70-0_52.205.253.179,1,75
hyw9QCVsndjxFYq28j8B,Rendered,mountainlake_014-1-0-70-0_54.209.141.225,1,75
iHXYMyJ+yki1dyJ4oY6+,Rendered,run56-medievalSewer-1-0,1,75
